STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/10/1906,,,,,33.3,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/11/1906,,,,,29.4,22.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/12/1906,,,,,27.8,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/13/1906,,,,,24.4,17.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/14/1906,,,,,25.6,17.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/15/1906,,,,,27.8,17.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/16/1906,,,,,26.7,17.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/17/1906,,,,,37.2,25.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/18/1906,,,,,36.7,23.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/19/1906,,,,,31.1,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/20/1906,,,,,26.7,19.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/21/1906,,,,,26.7,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/22/1906,,,,,26.1,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/23/1906,,,,,25.6,16.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/24/1906,,,,,24.4,16.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/25/1906,,,,,22.8,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/26/1906,,,,,23.3,16.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/27/1906,,,,,22.2,16.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/28/1906,,,,,23.9,16.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/29/1906,,,,,25,17.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",6/30/1906,,,,,26.7,17.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/1/1906,,,,,18.3,16.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/2/1906,,,,,18.3,17.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/3/1906,,,,,18.9,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/4/1906,,,,,28.3,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/5/1906,,,,,31.1,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/6/1906,,,,,31.7,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/7/1906,,,,,30,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/8/1906,,,,,31.7,24.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/9/1906,,,,,32.8,21.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/10/1906,,,,,28.3,23.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/11/1906,,,,,33.3,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/12/1906,,,,,28.9,22.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/13/1906,,,,,27.8,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/14/1906,,,,,29.4,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/15/1906,,,,,28.3,21.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/16/1906,,,,,27.8,22.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/17/1906,,,,,28.3,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/18/1906,,,,,27.8,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/19/1906,,,,,27.8,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/20/1906,,,,,30,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/21/1906,,,,,30,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/22/1906,,,,,31.1,23.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/23/1906,,,,,31.7,22.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/24/1906,,,,,31.7,23.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/25/1906,15.2,,,,29.4,25.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/26/1906,,,,,31.1,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/27/1906,,,,,28.3,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/28/1906,,,,,29.4,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/29/1906,,,,,25.6,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/30/1906,,,,,30,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",7/31/1906,,,,,28.3,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/1/1906,,,,,26.7,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/2/1906,,,,,29.4,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/3/1906,,,,,32.2,21.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/4/1906,,,,,30,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/5/1906,,,,,28.9,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/6/1906,,,,,30.6,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/7/1906,,,,,28.9,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/8/1906,,,,,27.8,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/9/1906,,,,,27.8,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/10/1906,,,,,28.9,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/11/1906,,,,,27.8,20.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/12/1906,,,,,32.8,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/13/1906,,,,,35,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/14/1906,,,,,33.9,22.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/15/1906,,,,,32.8,22.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/16/1906,,,,,34.4,23.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/17/1906,,,,,32.2,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/18/1906,,,,,30.6,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/19/1906,,,,,28.3,19.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/20/1906,1,,,,27.8,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/21/1906,,,,,26.7,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/22/1906,,,,,25.6,16.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/23/1906,,,,,28.9,17.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/24/1906,,,,,28.3,17.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/25/1906,,,,,27.8,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/26/1906,,,,,26.7,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/27/1906,,,,,27.8,17.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/28/1906,,,,,26.7,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/29/1906,,,,,27.2,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/30/1906,,,,,26.7,18.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",8/31/1906,,,,,28.9,19.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/1/1906,,,,,27.8,17.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/2/1906,,,,,30,17.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/3/1906,,,,,26.7,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/4/1906,,,,,27.2,16.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/5/1906,,,,,26.7,16.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/6/1906,,,,,27.8,17.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/7/1906,,,,,29.4,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/8/1906,,,,,28.9,17.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/9/1906,,,,,26.7,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/10/1906,,,,,27.8,16.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/11/1906,,,,,28.3,16.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/12/1906,,,,,30,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/13/1906,,,,,30.6,17.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/14/1906,,,,,31.1,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/15/1906,,,,,30,17.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/16/1906,,,,,32.2,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/17/1906,,,,,33.3,20.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/18/1906,,,,,34.4,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/19/1906,,,,,32.8,21.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/20/1906,,,,,27.8,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/21/1906,,,,,27.8,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/22/1906,,,,,26.7,17.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/23/1906,,,,,25,16.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/24/1906,,,,,24.4,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/25/1906,,,,,26.7,16.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/26/1906,,,,,26.7,16.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/27/1906,,,,,26.7,16.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/28/1906,,,,,25,17.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/29/1906,,,,,30.6,20,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",9/30/1906,1.3,,,,40.6,28.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/1/1906,,,,,36.7,25.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/2/1906,,,,,30,18.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/3/1906,,,,,28.9,16.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/4/1906,,,,,27.8,19.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/5/1906,,,,,26.7,18.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/6/1906,,,,,26.7,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/7/1906,,,,,26.1,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/8/1906,,,,,26.7,13.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/9/1906,,,,,26.7,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/10/1906,,,,,28.3,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/11/1906,,,,,26.1,13.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/12/1906,,,,,26.7,13.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/13/1906,,,,,26.7,12.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/14/1906,,,,,30,13.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/15/1906,,,,,29.4,13.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/16/1906,,,,,26.7,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/17/1906,,,,,26.1,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/18/1906,,,,,22.8,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/19/1906,,,,,23.3,13.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/20/1906,,,,,22.8,11.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/21/1906,,,,,24.4,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/22/1906,,,,,20.6,9.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/23/1906,,,,,22.8,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/24/1906,,,,,26.7,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/25/1906,,,,,30.6,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/26/1906,,,,,32.2,15.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/27/1906,,,,,26.7,15,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/28/1906,,,,,28.9,16.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/29/1906,,,,,25.6,16.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/30/1906,,,,,23.9,13.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",10/31/1906,,,,,20,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/1/1906,,,,,25.6,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/2/1906,,,,,25.6,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/3/1906,,,,,22.2,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/4/1906,,,,,20,11.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/5/1906,0.3,,,,20.6,13.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/6/1906,,,,,22.2,9.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/7/1906,,,,,28.3,11.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/8/1906,,,,,25,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/9/1906,,,,,25.6,11.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/10/1906,,,,,23.9,8.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/11/1906,,,,,25.6,10,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/12/1906,,,,,27.8,11.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/13/1906,,,,,26.7,10,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/14/1906,,,,,28.3,11.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/15/1906,,,,,25.6,10,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/16/1906,,,,,20,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/17/1906,,,,,21.1,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/18/1906,,,,,18.3,11.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/19/1906,,,,,17.2,7.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/20/1906,,,,,16.1,3.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/21/1906,,,,,15.6,6.7,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/22/1906,14.2,,,,8.9,6.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/23/1906,0.5,,,,11.1,3.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/24/1906,,,,,16.7,3.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/25/1906,,,,,17.2,3.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/26/1906,2.3,,,,8.9,5.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/27/1906,0.5,,,,11.1,6.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/28/1906,,,,,13.3,3.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/29/1906,4.6,,,,11.7,5.6,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",11/30/1906,,,,,14.4,3.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/1/1906,0,,,,14.4,3.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/2/1906,3.3,,,,15.6,3.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/3/1906,7.4,,,,13.9,4.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/4/1906,0,,,,15.6,8.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/5/1906,0,,,,16.7,7.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/6/1906,0,,,,20.6,6.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/7/1906,0,,,,21.7,8.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/8/1906,12.7,,,,16.7,10,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/9/1906,0,,,,15.6,11.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/10/1906,37.6,,,,15,6.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/11/1906,4.3,,,,15.6,10,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/12/1906,0,,,,15.6,8.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/13/1906,0,,,,17.8,6.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/14/1906,0,,,,17.8,7.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/15/1906,0,,,,17.8,6.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/16/1906,0,,,,17.8,4.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/17/1906,0,,,,21.1,7.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/18/1906,0,,,,22.2,8.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/19/1906,0,,,,15.6,8.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/20/1906,0,,,,21.7,12.8,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/21/1906,0,,,,25.6,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/22/1906,0,,,,22.8,12.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/23/1906,0,,,,21.7,11.1,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/24/1906,0,,,,20,14.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/25/1906,0.3,,,,13.3,7.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/26/1906,14.5,,,,15.6,9.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/27/1906,14.5,,,,15.6,7.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/28/1906,0.3,,,,15.6,8.9,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/29/1906,0,,,,17.2,7.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/30/1906,0,,,,20,4.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",12/31/1906,12.4,,,,12.2,4.4,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/1/1907,0,,,,13.3,2.2,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/2/1907,0,,,,11.1,3.3,
USW00093134,"LOS ANGELES DOWNTOWN USC, CA US",1/3/1907,0,,,,17.2,3.3,
