STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-25,,,0,,,,19.4,3.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-26,,,15.7,,,,18.9,6.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-27,,,0,,,,14.4,0.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-02-28,,,0,,,,15.6,3.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-01,,,,,,,12.8,2.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-02,,,6.4,,,,14.4,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-03,,,,,,,16.7,-1.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-04,,,31.8,,,,13.3,5.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-05,,,35.6,,,,12.8,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-06,,,10.2,,,,12.8,2.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-07,,,,,,,13.3,0.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-08,,,28.7,,,,12.8,3.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-09,,,13.5,,,,10,0.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-10,,,,,,,12.2,-1.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-11,,,6.4,,,,12.8,2.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-12,,,,,,,13.3,-0.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-13,,,,,,,16.1,0,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-14,,,,,,,12.8,2.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-15,,,13,,,,20,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-16,,,0.8,,,,17.2,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-17,,,,,,,20,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-18,,,,,,,18.3,5,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-19,,,,,,,15.6,3.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-20,,,44.2,,,,13.3,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-21,,,39.4,,,,14.4,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-22,,,2,,,,15,2.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-23,,,,,,,15.6,3.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-24,,,,,,,17.2,6.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-25,,,,,,,17.8,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-26,,,,,,,22.2,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-27,,,,,,,28.3,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-28,,,,,,,28.3,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-29,,,,,,,18.3,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-30,,,,,,,20.6,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-03-31,,,,,,,20.6,8.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-01,,,1.3,,,,20,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-02,,,0,,,,20,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-03,,,1,,,,21.1,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-04,,,0,,,,18.3,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-05,,,0,,,,15.6,8.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-06,,,5.1,,,,13.3,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-07,,,0,,,,17.2,1.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-08,,,0,,,,16.7,1.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-09,,,0,,,,17.8,2.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-10,,,0,,,,17.2,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-11,,,0,,,,17.8,1.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-12,,,0,,,,17.2,2.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-13,,,0,,,,21.1,3.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-14,,,0,,,,22.8,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-15,,,0,,,,23.3,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-16,,,0,,,,20,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-17,,,0,,,,18.3,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-18,,,0,,,,20,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-19,,,0,,,,25,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-20,,,0,,,,26.7,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-21,,,0,,,,25.6,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-22,,,0,,,,23.3,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-23,,,2.8,,,,19.4,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-24,,,0,,,,19.4,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-25,,,0,,,,21.1,1.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-26,,,0,,,,23.9,5.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-27,,,0,,,,21.1,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-28,,,3.6,,,,17.8,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-29,,,0,,,,21.1,3.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-04-30,,,0,,,,18.9,2.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-01,,,0,,,,22.2,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-02,,,0,,,,25,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-03,,,0,,,,23.3,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-04,,,0,,,,23.3,8.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-05,,,0,,,,18.9,5.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-06,,,0,,,,23.9,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-07,,,0,,,,23.3,6.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-08,,,0,,,,17.8,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-09,,,0,,,,20,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-10,,,0,,,,23.9,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-11,,,0,,,,25.6,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-12,,,4.3,,,,23.9,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-13,,,0,,,,19.4,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-14,,,0,,,,21.7,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-15,,,0,,,,23.3,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-16,,,0,,,,23.9,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-17,,,0,,,,22.8,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-18,,,0,,,,23.3,3.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-19,,,0,,,,23.3,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-20,,,0,,,,23.9,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-21,,,0,,,,28.9,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-22,,,0,,,,31.7,12.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-23,,,0,,,,32.2,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-24,,,0,,,,22.8,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-25,,,0,,,,23.3,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-26,,,0,,,,24.4,6.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-27,,,0,,,,23.9,5.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-28,,,0,,,,25,6.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-29,,,0,,,,23.9,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-30,,,0,,,,31.7,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-05-31,,,0,,,,25,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-01,,,0,,,,28.9,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-02,,,0,,,,29.4,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-03,,,0,,,,28.3,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-04,,,0,,,,27.8,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-05,,,0,,,,29.4,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-06,,,0,,,,31.7,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-07,,,0,,,,28.9,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-08,,,0,,,,29.4,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-09,,,0,,,,28.3,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-10,,,0,,,,28.3,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-11,,,0,,,,26.1,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-12,,,0,,,,23.9,12.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-13,,,0,,,,23.3,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-14,,,0,,,,28.9,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-15,,,0,,,,35,13.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-16,,,0,,,,32.2,11.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-17,,,0,,,,30.6,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-18,,,0,,,,29.4,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-19,,,0,,,,26.7,8.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-20,,,0,,,,28.9,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-21,,,0,,,,31.1,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-22,,,0,,,,28.3,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-23,,,0,,,,30.6,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-24,,,0,,,,31.7,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-25,,,0,,,,30.6,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-26,,,0,,,,31.1,8.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-27,,,0,,,,30.6,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-28,,,0,,,,30,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-29,,,0,,,,33.3,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-06-30,,,0,,,,32.2,12.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-01,,,0,,,,32.2,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-02,,,0,,,,31.7,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-03,,,0,,,,32.2,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-04,,,0,,,,32.2,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-05,,,0,,,,28.3,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-06,,,0,,,,25.6,12.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-07,,,0,,,,27.8,13.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-08,,,0,,,,29.4,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-09,,,0,,,,31.1,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-10,,,0,,,,32.2,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-11,,,0,,,,37.2,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-12,,,0,,,,30.6,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-13,,,0,,,,31.1,11.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-14,,,0,,,,32.2,12.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-15,,,0,,,,31.7,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-16,,,0,,,,31.7,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-17,,,0,,,,33.3,13.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-18,,,0,,,,33.9,14.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-19,,,0,,,,35,15,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-20,,,5.1,,,,30.6,15.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-21,,,0,,,,32.8,15.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-22,,,0,,,,31.1,15,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-23,,,0,,,,31.7,15,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-24,,,0,,,,31.7,12.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-25,,,0,,,,31.7,13.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-26,,,0,,,,31.7,12.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-27,,,0,,,,31.7,12.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-28,,,0,,,,31.1,12.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-29,,,0,,,,32.2,11.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-30,,,0,,,,33.3,14.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-07-31,,,0,,,,31.7,15.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-05,,,,,,,32.2,14.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-06,,,,,,,32.2,15,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-07,,,,,,,33.3,13.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-08,,,,,,,34.4,13.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-09,,,,,,,35.6,15.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-10,,,,,,,36.1,16.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-11,,,,,,,35.6,17.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-12,,,,,,,35,17.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-13,,,,,,,33.3,17.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-14,,,,,,,32.8,15,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-15,,,,,,,31.1,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-16,,,,,,,30.6,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-17,,,,,,,30,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-18,,,,,,,30,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-19,,,,,,,30,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-20,,,,,,,28.3,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-21,,,,,,,29.4,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-22,,,,,,,31.7,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-23,,,,,,,31.1,13.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-24,,,,,,,31.1,13.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-25,,,,,,,27.2,13.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-26,,,,,,,27.2,13.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-27,,,,,,,29.4,12.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-28,,,,,,,28.3,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-29,,,,,,,29.4,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-30,,,,,,,30.6,12.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-08-31,,,,,,,31.1,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-01,,,,,,,30.6,12.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-02,,,,,,,33.3,13.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-03,,,,,,,35,16.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-04,,,,,,,31.1,15.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-05,,,,,,,26.7,13.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-06,,,,,,,23.9,12.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-07,,,,,,,24.4,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-08,,,,,,,26.7,8.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-09,,,,,,,26.1,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-10,,,,,,,25,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-11,,,,,,,25,8.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-12,,,,,,,25.6,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-13,,,,,,,23.3,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-14,,,,,,,24.4,8.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-15,,,,,,,23.3,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-16,,,,,,,25.6,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-17,,,,,,,26.1,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-18,,,,,,,22.2,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-19,,,,,,,24.4,12.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-20,,,,,,,25.6,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-21,,,,,,,26.7,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-22,,,,,,,28.9,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-23,,,,,,,27.8,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-24,,,,,,,26.7,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-25,,,,,,,28.9,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-26,,,,,,,29.4,11.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-27,,,,,,,23.9,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-28,,,,,,,22.8,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-29,,,,,,,23.3,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-09-30,,,,,,,22.2,8.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-01,,,0,,,,25.6,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-02,,,0,,,,27.2,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-03,,,0,,,,28.3,11.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-04,,,0,,,,23.9,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-05,,,0,,,,28.3,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-06,,,0,,,,27.8,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-07,,,0,,,,23.3,10.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-08,,,0,,,,26.7,11.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-09,,,0,,,,21.1,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-10,,,0,,,,21.7,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-11,,,0,,,,29.4,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-12,,,0,,,,30,11.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-13,,,0,,,,30.6,12.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-14,,,0,,,,28.3,11.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-15,,,0,,,,21.7,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-16,,,0,,,,18.9,6.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-17,,,0,,,,19.4,6.1,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-18,,,0,,,,19.4,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-19,,,0.8,,,,20.6,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-20,,,0,,,,19.4,8.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-21,,,0,,,,18.9,5.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-22,,,8.6,,,,16.7,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-23,,,1.3,,,,18.9,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-24,,,13.2,,,,19.4,8.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-25,,,0,,,,18.9,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-26,,,0,,,,24.4,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-27,,,0,,,,27.2,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-28,,,0,,,,23.9,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-29,,,0,,,,21.1,4.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-30,,,0,,,,17.8,5,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-10-31,,,0,,,,17.2,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-01,,,0,,,,17.2,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-02,,,0,,,,16.1,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-03,,,0,,,,20,5,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-04,,,0,,,,23.3,5.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-05,,,0,,,,20,7.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-06,,,0,,,,17.2,8.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-07,,,0,,,,22.8,5.6,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-08,,,0,,,,21.1,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-09,,,0,,,,22.2,6.7,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-10,,,0,,,,22.8,3.9,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-11,,,0,,,,22.8,9.4,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-12,,,0,,,,23.9,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-13,,,0,,,,26.1,7.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-14,,,0,,,,26.1,10,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-15,,,0,,,,24.4,8.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-16,,,0,,,,18.9,5,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-17,,,24.6,,,,11.7,2.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-18,,,1.3,,,,14.4,2.2,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-19,,,0,,,,13.3,3.3,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-20,,,0,,,,13.9,2.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-21,,,0,,,,14.4,5,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-22,,,0,,,,13.9,2.8,
USC00041779,"CLAREMONT POMONA COL, CA US",1893-11-23,,,0,,,,18.9,-0.6,
